code;instant;source;description;target
6014;2015-01-02 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6015;2015-01-05 00:00:00.000;J62903255K;"KRELA SHPK - ELBASAN - ";
6016;2015-01-06 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6017;2015-01-07 00:00:00.000;K31418036C;"INFOSOFT SD SHPK  FINANCA 5 - TIRANE - ";
6018;2015-01-12 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6019;2015-01-13 00:00:00.000;K01809005G;"TV BALLKAN  SHA    A1 REPORT - TIRANE - ";
6020;2015-01-13 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6021;2015-01-13 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6022;2015-01-12 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6023;2015-01-15 00:00:00.000;;"OZMARMARA - TURQI - ";
6024;2015-01-19 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6025;2015-01-20 00:00:00.000;;"PANASONIC MARKETING EUROPE GMBH -  - ";M1
6026;2015-01-13 00:00:00.000;;"TRANSALBANIA SHPK -  - ";
6027;2015-01-13 00:00:00.000;;"TRANSALBANIA SHPK -  - ";
6028;2015-01-16 00:00:00.000;K91808502Q;"MERJA OUTLET SHPK - DURRES - ";M1
6029;2015-01-22 00:00:00.000;K91808502Q;"MERJA OUTLET SHPK - DURRES - ";M1
6030;2015-01-22 00:00:00.000;L16919202N;"RAJMONDA OSMENI - VLORE - ";
6031;2015-01-23 00:00:00.000;K72217008P;"SALI ELEKTRIK -  - ";M1
6032;2015-01-22 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
6033;2015-01-24 00:00:00.000;;"TREVI SPA - ITALI - ";M1
8595;2015-01-24 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
8596;2015-01-24 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6036;2015-01-24 00:00:00.000;;"FISHER&PAYKEL, DE LONGHI - VIA FABBIAN MATTEO,7 - ";M1
6037;2015-01-24 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
6038;2015-01-24 00:00:00.000;;"ALEAMA S.R.L - ITALI - ";M1
6039;2015-01-31 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6040;2015-01-14 00:00:00.000;K63026404B;"KOMBI - FIER - ";
6041;2015-01-14 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6042;2015-01-14 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6055;2015-01-13 00:00:00.000;;"TRANSALBANIA SHPK -  - ";
6056;2015-01-02 00:00:00.000;J61826509U;"A.T.H.S - DURRES - ";
6057;2015-01-02 00:00:00.000;K92201058S;"MARES REKLAMA - TIRANE - ";
6058;2015-01-27 00:00:00.000;;"OZMARMARA - TURQI - ";
6059;2015-02-04 00:00:00.000;J62903255K;"KRELA SHPK - ELBASAN - ";
6060;2015-02-07 00:00:00.000;;"PANASONIC MARKETING EUROPE GMBH -  - ";M1
6061;2015-02-07 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6062;2015-02-09 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6063;2015-02-12 00:00:00.000;;"SMEG - ITALI - ";M1
6064;2015-02-12 00:00:00.000;it00693740;"INDESIT COMPANY - ITALI, Viale aristide merloni  - ";M1
6065;2015-02-12 00:00:00.000;;"BENTY. s.r.l - ITALI - ";M1
6066;2015-02-12 00:00:00.000;;"GOVAR S.R.L - ITALI - ";M1
6068;2015-02-03 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
6069;2015-02-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6070;2015-02-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6071;2015-02-01 00:00:00.000;;"DRRMSH VLORE - VLORE - ";
6072;2015-02-01 00:00:00.000;;"DRRMSH VLORE - VLORE - ";
6073;2015-02-02 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
6043;2015-01-16 00:00:00.000;J97426201K;"FJORTES.shpk...Karburant - VLORE - ";M1
6044;2015-01-20 00:00:00.000;K52814202D;"RADIO KLEA - ELBASAN - ";
6045;2015-01-23 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6046;2015-01-29 00:00:00.000;K92801201D;"ELBASAN TV - ELBASAN - ";
6047;2015-01-28 00:00:00.000;;"GEMAKLER SHPK -  - ";M1
6048;2015-01-30 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6049;2015-01-30 00:00:00.000;K72925208T;"MERITAN HYSENI - ELBASAN - ";
6050;2015-01-31 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6051;2015-01-31 00:00:00.000;J97426201K;"FJORTES.shpk...Karburant - VLORE - ";M1
6052;2015-01-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6053;2015-01-31 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
6067;2015-02-03 00:00:00.000;J77207216A;"MEHILLAJ SHPK - VLORE - ";
