buyin;code;name;unit;size;cost;price;tax
6014;626;Shpz.postare e telekom.;;0;0;0;0.2
6015;613;Qera;;0;0;0;0
6016;613;Qera;;0;0;0;0
6017;2182;Pajisje zyre dhe informatike;;0;0;0;0.2
6018;CEL7342;CELULAR.HUAWEI ASCEND Y530 ITA WHITE ,HUAY530ITAWH;COP;1;80;80;0.2
6018;CEL7341;CELULAR.HUAWEI ASCEND Y530 ITA BLACK ,HUAY530ITABK;COP;3;80;80;0.2
6018;CEL9058;CELULAR.BLACKBERRY Z3 STJ100-1;COP;2;165;165;0.2
6018;TAB9059;TABLET.HUAWEI S10-201U ,WIFI,3G;COP;2;158.335;158.335;0.2
6018;TAB5157;TABLET.INNO-HIT IHA-C0709 ,7'',4GB,WIFI;COP;2;58.335;58.335;0.2
6019;624;Reklame, publicitet/Euro;;0;0;0;0.2
6020;624;Reklame, publicitet/Euro;;0;0;0;0
6021;624;Reklame, publicitet/Euro;;0;0;0;0
6619;SO9647;SO.INDESIT KN3M21(W)/EX;COP;2;140;140;0.2
6023;6271;Transporte per blerje/Euro;;0;0;0;0
6024;SO9063;SO.FRAT-ONO C6622 FEN ,2G+2K ,e zeze;COP;160;100;100;0.2
6025;LV6505;LVT.PANASONIC NA-107VC5WGN ,1000XH,7KG;COP;30;178.4;178.4;0.2
6025;LV9064;LVT.PANASONIC NA-127VB5WGN ,7KG,1200XH;COP;5;179.652;179.652;0.2
6025;LV9064;LVT.PANASONIC NA-127VB5WGN ,7KG,1200XH;COP;5;239.536;239.536;0.2
6025;BB6876;BERESE BUKE.PANASONIC SD-ZB2502BXE;COP;1;113;113;0.2
6025;HIFI9065;SISTEM.PANASONIC SC-HTB170EGK ,SPEAKER SYSTEM;COP;2;119;119;0.2
6025;HE4684;HEKUR.PANASONIC NI-W920AVXA,2400W,avull;COP;20;34.7;34.7;0.2
6025;TV8543;LED.PANASONIC TX-50A400E;COP;5;348.4;348.4;0.2
6025;TV6503;LED.PANASONIC TX-32A300E ,HD;COP;30;167.9333;167.9333;0.2
6031;ZGJ5762;ZGJATUES.PRIZA FAEG ,FG19501 ,16A+T+6,3 SCHUKO;COP;5;440;440;0.2
6058;6271;Transporte per blerje/Euro;;0;0;0;0.2
6028;KO9027;KOND.ELECTROLUX EXI18HL1WE1,INV,18 BTU;COP;2;71240;71240;0.2
6028;KO9027;KOND.ELECTROLUX EXI18HL1WE1,INV,18 BTU;COP;3;49280;49280;0.2
6028;FU9061;FU.ELECTROLUX EOC 6841 AAW ,e bardhe;COP;1;34600;34600;0.2
6029;FR9067;FR.ZOPPAS SPFP18400;COP;1;33350;33350;0.2
6619;SO9648;SO.INDESIT KN6E76A(W)/GR;COP;15;140;140;0.2
6031;ZGJ5765;ZGJATUES.PRIZA FAEG FG19805 ,5V+CELES+KAB 1.5M;COP;10;504;504;0.2
6031;ZGJ7481;ZGJATUES.FAEG FG19500 ,9 VENDE ,1.5M KAB;COP;5;677;677;0.2
6031;ZGJ5761;ZGJATUES.PRIZA FAEG FG19807 ,7V+CELES+KABELL 1.5M,;COP;5;565;565;0.2
6032;FR8137;COMB.OQEAN CNF 390 GW,300L,NF,DISPL,XHAM BARDHE;COP;20;300;300;0.2
6032;FR8138;COMB.OQEAN CNF 390 GB ,300L,NF,DISPL,XHAM I ZI;COP;50;300;300;0.2
6032;FR9066;COMB.OQEAN CNF 390 GS 300L,NF,DISPL,XHAM,SILVER;COP;2;300;300;0.2
6033;TV9034;LED.TREVI 4001HD00 ,LTV 4001 FHD;COP;60;177;177;0.2
6033;TAB8395;TABLET.TREVI TAB 7 3G S8 ,DUALCORE,7'',BLACK,0T07GS00;COP;30;54.13;54.13;0.2
6033;CEL8610;CELULAR.TREVI SMARTPHONE 4 B,DUALCORE,4'',BLACK,0SM40B00;COP;10;47.06;47.06;0.2
6033;KUF9075;KUFJE.TREVI ZIP 681 M ,EARPHONE+MIKROFON ,0068100;COP;20;3.7;3.7;0.2
8595;FR6926;FR.SMEG FD541MNED ,498 L;COP;3;564.3;564.3;0.2
8595;FU6933;FU.SMEG SF750PO;COP;3;384.6166;384.6166;0.2
8595;FU6938;FU.SMEG SF465N;COP;10;183.546;183.546;0.2
8595;FU6934;FU.SMEG SFP109 ,INOX;COP;4;302.94;302.94;0.2
8595;PN6954;PIAN.SMEG SE660X1 ,4 K ,QERAMIK;COP;5;232.65;232.65;0.2
8595;PN6957;PIAN.SMEG SE2640TD2 ,4 K ,QERAMIK;COP;3;156.8166;156.8166;0.2
8595;PN7516;PIAN.SMEG SE2641TC2 ,K ,QERAMIK;COP;3;223.74;223.74;0.2
8595;LV6965;LVT.SMEG WM127IN ,7KG,1200XH ,A+B;COP;10;210.276;210.276;0.2
8595;LV9074;LVT.SMEG WHT912EIT ,9KG ,1200 XH ,A++;COP;10;241.461;241.461;0.2
8595;A6940;ASP.90cm SMEG KC90AO;COP;1;398.97;398.97;0.2
8596;TV8813;3D LED.PHILIPS 42PFT6309 ,FHD,200HZ,SMART,3HDMI,2USB;COP;15;267.638;267.638;0.2
8596;TV8810;3D LED.LG 42LB652V ,SMART,FHD,3HDMI,2USB,500MCI;COP;10;342.686;342.686;0.2
8596;TV8800;LED.SAMSUNG UE32H5303 ,FHD,100HZ,2HDMI,2USB,SMART;COP;10;216.844;216.844;0.2
8596;TV9077;LED.PHILIPS 40PFH4009 ,FHD,100HZ,2HDMI,USB;COP;15;249.5453;249.5453;0.2
8596;TAB8908;TABLET.SAMSUNG T530W ,10'',WIFI,AND 4.4 ,QUADCORE ,1.2GHZ;COP;6;190.2783;190.2783;0.2
8596;TAB8360;TABLET.ASUS ME70C1B007A ,7'',WIFI,AND4.3 ,8GB,WHITE;COP;15;77.6673;77.6673;0.2
8596;CEL9076;CELULAR.HUAWEI Y550 ,QUADCORE,4.5'',5MP;COP;5;102.528;102.528;0.2
8596;CEL7710;CELULAR.SAMSUNG I9301B ,S3 NEO SMART AND4.4 4.8'',BLU;COP;6;157.0283;157.0283;0.2
8596;CEL9078;CELULAR.SAMSUNG G357 ,AND 4.4.2 ,QUADCORE,5'';COP;3;130.24;130.24;0.2
8085;TAB10383;TABLET.TREVI TAB 7 C16 ,NERO ,0T07C1600;COP;60;34;34;0.2
6036;FU6266;FURRA.DELONGHI  PMX 6, inox,6funk;COP;20;160;160;0.2
6036;FU6267;FURRA.DELONGHI BMA 8 e zeze,touch;COP;20;190;190;0.2
6036;FU6468;FU.DELONGHI CM 9 AV ,AVENA;COP;20;185;185;0.2
6036;FU6466;FU.DELONGHI SMX 6 ,INOX;COP;20;152;152;0.2
6036;FU6467;FU.DELONGHI SMN 6 ,E ZEZE;COP;20;152;152;0.2
6036;FU6268;FURRA.DELONGHI SMS 6, xham.pasq,6funk;COP;40;155;155;0.2
6036;PN6471;PIAN.DELONGHI PVC 60 M;COP;40;132;132;0.2
6036;SO6472;SO.DELONGHI DMX 664 V ,qeramik;COP;10;330;330;0.2
6037;ST8834;STUFA.DCG GH01 , me Gas;COP;10;38;38;0.2
6037;SHTR6532;SHTRYDHESE.DCG ZP3364 ,agrume;COP;20;5;5;0.2
6037;PERZ5229;PERZIERES.DCG HM9811 mixer,xhytes;COP;30;5;5;0.2
6037;HE4056;HEKUR.DCG  DB8000 ,2300W,kaldaje;COP;50;19;19;0.2
6037;HE6853;HEKUR.DCG DB8010 ,1800W;COP;50;5;5;0.2
6037;TO5236;TOST.DCG ST2550 ,mini bistechiera;COP;40;5;5;0.2
6037;MF5945;MINI FURRE.DCG MB9830N,30 Lit,2 plitka;COP;15;35;35;0.2
6038;CEL8510;CELULAR.NOKIA LUMIA 530 ITA WHITE NOK530ITAW;COP;6;66;66;0.2
6038;CEL9070;CELULAR.NOKIA LUMIA 530 ITALIA GRY ,NOK530ITAGRY;COP;6;66;66;0.2
6038;CEL9071;CELULAR.NOKIA LUMIA 530 IT GREEN ,NOK530ITAGRN;COP;5;66;66;0.2
6038;TAB8035;CELULAR.MEDIACOM DUO S501 ,ORANGE,MEDPPDS501OR,PHONEPAD;COP;10;109;109;0.2
6038;CEL9072;CELULAR.LG D320N L70 ITA BLACK ,LGD320NITABK;COP;5;89;89;0.2
6038;CEL9073;CELULAR.LG D320N L70 ITA WHITE ,LGD320NITAW;COP;3;89;89;0.2
6038;CEL8819;CELULAR.HUAWEI ASCEND G7 ITALIA WHITE ,HUAG7ITAWH;COP;3;215;215;0.2
6039;617;STUDIME DHE KERKIME;;0;0;0;0.2
6027;6271;Transporte per blerje;;0;0;0;0
6041;626;Shpz.postare e telekom.;;0;0;0;0.2
6042;626;Shpz.postare e telekom.;;0;0;0;0.2
6055;6271;Transporte per blerje/Euro;;0;0;0;0.2
6030;617;STUDIME DHE KERKIME;;0;0;0;0.2
6043;NAFTE6242;NAFTE;COP;2000;133.3325;133.3325;0.2
6044;624;Reklame, publicitet;;0;0;0;0
6045;624;Reklame, publicitet;;0;0;0;0.2
6046;624;Reklame, publicitet;;0;0;0;0.2
6047;BAT8990;BATER.ENERGIZER CLASSIC 44 LR FSB4+2 ,635358;COP;12;250.6666;250.6666;0.2
